company,salTpNm,minSal,maxSal,holidayTpNm,minEdubg,career,empTpCd,jobsCd,regDt,closeDt,region_1,region_2,basicAddr,smCo,coTp
(주)농심,일급,78080,0,주5일근무,고졸,관계없음,20,890006,22-01-28,채용시까지  22-02-20,부산,부산 강서구,부산광역시 강서구 녹산산단261로73번길 48,N,01
현대엔지니어링(주),연봉,40000000,50000000,주6일근무,고졸,경력,20,140200,22-01-25,채용시까지  22-03-24,부산,부산 연제구,부산광역시 연제구 중앙대로 1000,N,01
현대엔지니어링(주),연봉,30000000,30000000,주5일근무,학력무관,경력,20,027203,22-01-25,22-02-12,부산,부산 연제구,부산광역시 연제구 중앙대로 1000,N,01
(주)포스코건설,연봉,37000000,41000000,주5일근무,대졸(2~3년),경력,20,140203,22-01-24,채용시까지  22-02-14,부산,부산 부산진구,부산광역시 부산진구 진남로 536,N,01
동원산업(주),시급,9160,0,주5일근무,학력무관,관계없음,10,890006,22-01-21,22-02-28,부산,부산 서구,부산광역시 서구 원양로 147,N,01
(주)케이티씨에스,월급,2160000,2360000,주5일근무,고졸,관계없음,10,029202,22-01-20,채용시까지  22-03-19,부산,부산 동구,부산광역시 동구 자성공원로 23,N,01
현대엔지니어링(주),연봉,33000000,48000000,주5일근무,학력무관,경력,20,702901,22-01-20,채용시까지  22-02-06,부산,부산 수영구,부산광역시 수영구 구락로123번길 20,N,01
(주)농심,연봉,36000000,0,주5일근무,고졸,경력,10,890000,22-01-19,채용시까지  22-02-20,부산,부산 사상구,부산광역시 사상구 사상로455번길 46,N,01
(주)태영건설,월급,3000000,4500000,주6일근무,학력무관,경력,20,706000,22-01-18,채용시까지  22-03-17,부산,부산 부산진구,부산광역시 부산진구 국악로 2,N,01
현대엔지니어링(주),연봉,33000000,48000000,주5일근무,고졸,경력,20,702901,22-01-18,채용시까지  22-02-06,부산,부산 부산진구,부산광역시 부산진구 서전로 8,N,01
주식회사 아성다이소,월급,1914440,1914440,주5일근무,학력무관,관계없음,20,617902,22-01-18,채용시까지  22-02-17,부산,부산 남구,부산광역시 남구 수영로 45,N,01
디엘건설 주식회사,월급,3000000,3500000,주5일근무,대졸(2~3년),경력,20,307903,22-01-18,채용시까지  22-02-28,부산,부산 강서구,부산광역시 강서구 낙동남로1013번길 116,N,01
롯데건설㈜,월급,2900000,3100000,주6일근무,학력무관,경력,20,158400,22-01-17,채용시까지  22-03-16,부산,부산 부산진구,부산광역시 부산진구 신천대로 108,N,01
동부건설(주),연봉,50000000,60000000,주6일근무,학력무관,경력,20,140600,22-01-12,채용시까지  22-02-28,부산,부산 연제구,부산광역시 연제구 월드컵대로 420,N,01
